SKU,Item Name,Category,Country,Brand,CY Sales (YTD),PY Sales (YTD),YoY Sales %,CY Revenue (YTD),Weekly Run Rate,Monthly Target,Weekly Target,Annual Target,Expected YTD,YTD Variance,Sales Pace %,Sales Health,Remaining Target,Req. Weekly Sales,Req. Monthly Sales,Effort Multiplier,Total Stock,TWC Stock,Bonded Stock,Stock Coverage (Mo),Stock Coverage (Wk),TWC Coverage (Mo),TWC Coverage (Wk),Wks Until Stockout,Stockout Risk,Bonded Reorder,TWC Reorder,Bonded Est. Reorder Qty,TWC Est. Reorder Qty,CY Purchases,PY Purchases,Stock Turnover
013-049,Riedel Decanter Mosel,Decanter,Austria,Riedel,0.0,0.0,,0.0,0.0,0.2,0.04615384615384616,2.4000000000000004,0.3692307692307693,-0.3692307692307693,-1.0,Critical,2.4000000000000004,0.05454545454545456,0.23636363636363641,1.1818181818181819,6,6,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
013-050,Riedel Decanter Mosel Magnum,Decanter,Austria,Riedel,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,3,3,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
013-051,Riedel Rum Aquavit,Glass,Austria,Riedel,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,60,60,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
013-052,Riedel Bar Water,Glass,Austria,Riedel,0.0,0.0,,0.0,0.0,4.8,1.1076923076923075,57.599999999999994,8.86153846153846,-8.86153846153846,-1.0,Critical,57.599999999999994,1.3090909090909089,5.672727272727272,1.1818181818181819,72,72,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
013-053,Riedel Decanter Ultra Magnum,Decanter,Austria,Riedel,0.0,0.0,,0.0,0.0,0.2,0.04615384615384616,2.4000000000000004,0.3692307692307693,-0.3692307692307693,-1.0,Critical,2.4000000000000004,0.05454545454545456,0.23636363636363641,1.1818181818181819,6,6,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
013-054,Riedel 002,Glass,Austria,Riedel,0.0,0.0,,0.0,0.0,12.7,2.93076923076923,152.39999999999998,23.44615384615384,-23.44615384615384,-1.0,Critical,152.39999999999998,3.463636363636363,15.009090909090906,1.1818181818181819,28,28,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
013-055,Riedel Decanter Ultra,Decanter,Austria,Riedel,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5,5,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
014-001,Coravin Model One Blue,Accessories,United States,Coravin,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2,2,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
014-003,Coravin Gas Capsules,Accessories,United States,Coravin,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,4,4,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
014-005,Coravin Stardard Needle,Accessories,United States,Coravin,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,3,3,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
